,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1169,1170,NCT03327467,Expanded Access Protocol: Umbilical Cord Blood Infusions for Children With Brain Injuries,,Available,No Results Available,"Autism Spectrum Disorder|Autism|Cerebral Palsy|Hydrocephalus|Apraxia of Speech|Hypoxia Ischemia, Cerebral|Drowning; Anoxia",Biological: Cord Blood Infusion,,"Joanne Kurtzberg, MD|Duke University",All,"up to 26 Years   (Child, Adult)",,,Other,Expanded Access:Treatment IND/Protocol,,Pro00083888,,,,2017-10-31,,2020-11-24,"Duke University Medical Center, Durham, North Carolina, United States|MD Anderson, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03327467
1172,1173,NCT00485849,A Study of Atomoxetine for Attention Deficit and Hyperactive/Impulsive Behaviour Problems in Children With ASD,,Completed,No Results Available,Attention Deficit Hyperactivity Disorder,Drug: Atomoxetine Hydrochloride,"Test whether atomoxetine is effective in reducing symptoms of inattention and overactivity/impulsivity as measured by the AHDHRS-IV-Parent:Inv scale in pediatric outpatients with ASD accompanied by ADHD behavior problems|To assess whether atomoxetine will be effective in reducing symptoms of inattention and overactivity/impulsivity|To assess whether atomoxetine will be effective for improving social functioning and personal sufficiency in children and adolescents with ASD+ADHD|To assess whether atomoxetine has a positive or negative effect on frequently associated symptoms as impulsive aggression, agitation, self-injurious behavior, troublesome repetitive behavior and poor motor coordination|To assess whether atomoxetine has a positive or negative effect on neuropsychological functioning|To assess the overall influence on functioning and burden on the family|To monitor clinical safety and side effects as assessed by adverse events elicited during open-ended questioning",Eli Lilly and Company,All,6 Years to 17 Years   (Child),Phase 4,12.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,6639|B4Z-UT-S003,2004-02-01,,2004-10-01,2007-06-13,,2007-06-13,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Groningen, Netherlands",,https://ClinicalTrials.gov/show/NCT00485849
1174,1175,NCT00147394,Risperidone Pharmacokinetics in Children With Pervasive Developmental Disorder (PDD),,Completed,No Results Available,"Child Development Disorders, Pervasive",Drug: Risperidone,"Quantify the variability of clearance and volume of distribution among AE rating, weight gain and ABC responder status.|Exploratory analysis will be performed to examine the relationship of other factors to risperidone and metabolite concentrations for PK/PD assessment.","Children's Hospital Medical Center, Cincinnati",All,5 Years to 16 Years   (Child),Phase 1,100.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PPRU 10544,2001-12-01,,2004-06-01,2005-09-07,,2012-10-29,"Children's Hospital of Michigan/Wayne State University, Detroit, Michigan, United States|Duke University Medical Center, Durham, North Carolina, United States|Cincinnati Children's Hospital, Cincinnati, Ohio, United States|Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|The Ohio State University Medical Center, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT00147394
1177,1178,NCT03292848,"Trial to Assess the Pharmacokinetics, Safety, Tolerability of Oral Brexpiprazole in Children (6 to <13 Years Old) With Central Nervous System Disorders",,Completed,No Results Available,ADHD|Autism|Bipolar I Disorder|Conduct Disorder|Oppositional Defiant Disorder,Drug: Brexpiprazole,"Maximum Plasma Concentration (Cmax) [PK]|Area under concentration-time curve (AUC) calculated from time zero to time t (AUCt) [PK]|AUC from time zero to infinity [PK]|Time of maximum plasma concentration (tmax) [PK]|Terminal-phase elimination half-life (t½,z) [PK]|Apparent clearance of drug from plasma after extravascular administration (CL/F) [PK]|Treatment-Emergent Adverse Events (TEAES) [Safety]|Clinical laboratory tests [Safety]|Vital signs observed and change from baseline data (systolic and diastolic blood pressure) [Safety]|Vital signs observed and change from baseline data (heart rate) [Safety]|Vital signs observed and change from baseline data (respiratory rate) [Safety]|Vital signs observed and change from baseline data (body temperature) [Safety]|12-lead electrocardiogram (ECGs) [Safety]|Physical examinations (height) [Safety]|Physical examinations (weight) [Safety]|Physical examinations- Body Mass Index (BMI) [Safety]|Physical examinations- review of body systems [Safety]|Simpson-Angus Scale (SAS) rating scale [Safety]|Abnormal Involuntary Movement Scale (AIMS) [Safety]|Barnes Akathisia Rating Scale (BARS) [Safety]|Columbia-Suicide Severity Rating Scale (C-SSRS) [Safety]","Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S",All,6 Years to 12 Years   (Child),Phase 1,24.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,331-201-00103,2017-10-10,2018-05-21,2018-05-21,2017-09-26,,2018-06-12,"Woodland International Research Group, Little Rock, Arkansas, United States|Woodland Research Northwest, LLC, Rogers, Arkansas, United States|Alliance for Wellness dba Alliance for Research, Long Beach, California, United States|New Hope Clinical Research, Charlotte, North Carolina, United States|IPS Research Company, Oklahoma City, Oklahoma, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Clinical Trials of Texas, Inc., San Antonio, Texas, United States|Road Runner Research Ltd., San Antonio, Texas, United States|Aspen Clinical Research, Orem, Utah, United States",,https://ClinicalTrials.gov/show/NCT03292848
1178,1179,NCT04689282,Intranasal Inhalations of M2 Macrophage Soluble Factors in Children With Developmental Speech Disorders,,Recruiting,No Results Available,"Language Delay|Language; Developmental Disorder, Expressive|Language; Developmental Disorder, Receptive|Autism Spectrum Disorder|Attention Deficit-Hyperactivity Disorder|Speech Disorders in Children","Biological: Bioactive Factors, Produced by M2 Type Macrophages (M2-BFs).",Change in the severity of speech disorders according to Speech Assessment Scale (SAS)|The number of patients with adverse events,Russian Academy of Medical Sciences,All,"3 Years to 18 Years   (Child, Adult)",Phase 1|Phase 2,30.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IFCI-23/06/2017,2020-02-01,2021-12-01,2022-07-01,2020-12-30,,2020-12-30,"Institute of Fundamental and Clinical Immunology, Novosibirsk, Russian Federation",,https://ClinicalTrials.gov/show/NCT04689282
1181,1182,NCT02149823,Examining Dose-Related Effects of Oxytocin on Social Cognition Across Populations,,Suspended,No Results Available,Borderline Personality Disorder|BPD|Schizotypal Personality Disorder|SPD|Autism Spectrum Disorder|Schizophrenia|Schizoaffective Disorder|Bipolar Disorder,Drug: Syntocinon 24 Intranasal Units (IU)|Drug: Syntocinon 40 Intranasal Units (IU)|Drug: Intranasal Placebo,Movie for the Assessment of Social Cognition (MASC)|Reading of the Mind in the Eyes|Resting-state functional connectivity,"Maria de las Mercedes Perez Rodriguez|James J. Peters Veterans Affairs Medical Center|VISN 3 Mental Illness Research, Education and Clinical Center|Icahn School of Medicine at Mount Sinai",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,165.0,Other|U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science",GCO 13-0340|UL1TR000067,2013-09-01,2021-08-01,2021-08-01,2014-05-29,,2020-10-08,"James J Peters VA Medical Center, Bronx, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT02149823
1182,1183,NCT00870974,A PET Brain Imaging Study of mGluR5 in Subjects With Neuropsychiatric Conditions,FPEB,Completed,No Results Available,Parkinson Disease|Huntington Disease|Autistic Spectrum Disorders|Fragile X Syndrome|Alzheimer Disease|Mild Cognitive Impairment,Drug: [18F]FPEB,Does FPEB reliably represent the known distribution of MGLUR5 in the brain?,Institute for Neurodegenerative Disorders,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,48.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label),FPEB,2009-03-01,2016-10-01,2016-11-01,2009-03-27,,2017-01-06,"Institute for Neurodegenerative Disorders, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00870974
1189,1190,NCT00870727,Study of Aripiprazole in the Treatment of Pervasive Developmental Disorders,,Completed,Has Results,Pervasive Developmental Disorder,Drug: Aripiprazole oral product|Drug: Placebo oral capsule,"Number of Participants Improved as Measured by the Clinical Global Impression-Global Improvement Scale (Improvement Defined as CGI-I=1 or CGI-I=2)|Mean Post-baseline Aberrant Behavior Checklist Irritability Subscale Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Hyperactivity Subscale Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Inappropriate Speech Subscale Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Social Withdrawal Subscale Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Stereotypy Subscale Score, Parent Report, Double-blind Phase",Indiana University|National Institute of Mental Health (NIMH)|Bristol-Myers Squibb,All,5 Years to 17 Years   (Child),Phase 3,33.0,Other|NIH|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",0805-26|MH 082119,2009-02-01,2015-03-01,2015-05-01,2009-03-27,2018-11-28,2019-01-02,"Riley Hospital for Children, Christian Sarkine Autism Treatment Center, Indianapolis, Indiana, United States",,https://ClinicalTrials.gov/show/NCT00870727
1190,1191,NCT00709202,Efficacy and Tolerability Study of Betahistine to Ameliorate Antipsychotic Associated Weight Gain,,Completed,Has Results,Schizophrenia|Schizoaffective Disorder|Schizophreniform Disorder|Bipolar I Disorder|Bipolar II|Bipolar NOS(Not Otherwise Specified)|Psychotic Disorder Not Otherwise Specified|Autism Spectrum Disorder,Drug: Betahistine|Drug: Placebo Oral Tablet,Change in Weight|Change in Body Mass Index (BMI)|Change in Waist Circumference|Change in Hip Circumference|Change in Glucose|Change in Cholesterol|Change in LDL|Change in HDL|Change in Triglycerides|Change in Appetite Hunger|Change in Appetite Fullness,Nathan Kline Institute for Psychiatric Research|Stanley Medical Research Institute,All,18 Years to 59 Years   (Adult),Phase 2,48.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",07TGF-1112,2008-07-01,2016-05-01,2016-12-01,2008-07-03,2019-01-25,2019-01-25,"Nathan Kline Insitute for Psychiatric Research, Orangeburg, New York, United States",,https://ClinicalTrials.gov/show/NCT00709202
1196,1197,NCT01894958,A Safety Study of NNZ-2566 in Patients With Fragile X Syndrome,,Completed,No Results Available,Fragile X Syndrome,Drug: NNZ-2566|Drug: Placebo,Adverse events|Physiological changes|Behavior|Global and Functional outcome Measures,Neuren Pharmaceuticals Limited,Male,"12 Years to 45 Years   (Child, Adult)",Phase 2,72.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Neu-2566-FXS-001,2014-01-01,2015-09-01,2015-10-01,2013-07-10,,2018-02-05,"UC Davis MIND Institute, Sacramento, California, United States|Children's Hospital Colorado, Denver, Colorado, United States|Children's National Hospital, Washington, District of Columbia, United States|Emory University, Atlanta, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|University of Massachusetts Medical School, Worcester, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|University of Nebraska, Omaha, Nebraska, United States|Mount Sinai School of Medicine, New York, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Autism & Developmental Medicine Institute Geisinger Health System, Lewisburg, Pennsylvania, United States|Suburban Research Associates, Media, Pennsylvania, United States|Greenwood Genetic Center, Greenwood, South Carolina, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Texas Children's Hospital, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01894958
1200,1201,NCT01282268,Efficacy and Safety Study of STX209 (Arbaclofen) for Social Withdrawal in Adolescents and Adults With Fragile X Syndrome,Harbor-A,Completed,No Results Available,Fragile X Syndrome,Drug: arbaclofen|Drug: placebo,Aberrant Behavior Checklist - FXS Social Avoidance Subscale,"Seaside Therapeutics, Inc.",All,"12 Years to 50 Years   (Child, Adult)",Phase 3,125.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",209FX301,2011-05-01,2012-12-01,,2011-01-24,,2013-07-31,"Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Miller Children's Hospital Research Administration, Long Beach, California, United States|University of California-Davis, M.I.N.D. Institute, Sacramento, California, United States|Psychiatric Centers at San Diego, San Diego, California, United States|University of Colorado Denver, Children's Hospital, Aurora, Colorado, United States|University of Miami, Mailman Center for Child Development, Miami, Florida, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Emory University School of Medicine, Decatur, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|University of Massachusetts, Worcester, Massachusetts, United States|University of Missouri, Thompson Research Center for Autism & Neurodevelpmental Disorders, Columbia, Missouri, United States|Seaver Autism Center, Mount Sinai Medical Center, New York, New York, United States|New York State Institute for Basic Research in Developmental Disabilities, Staten Island, New York, United States|Duke University Clinical Research Unit, Durham, North Carolina, United States|Akron Children's Hospital, Akron, Ohio, United States|University of Oklahoma, Physician's Child Study Center, Oklahoma City, Oklahoma, United States|Suburban Research Associates/Elwyn Genetics, Media, Pennsylvania, United States|Vanderbilt Kennedy Center, Nashville, Tennessee, United States|Texas Children's Hospital, Houston, Texas, United States|Red Oaks Psychiatry Associates, P.A., Houston, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01282268
1203,1204,NCT01238575,Guanfacine for the Treatment of Hyperactivity in Pervasive Developmental Disorder,,Completed,Has Results,Pervasive Development Disorders,Other: placebo|Drug: extended-release guanfacine,Aberrant Behavior Checklist Hyperactivity Subscale|ADHD Rating Scale - Total|Aberrant Behavior Checklist Irritability Subscale|Aberrant Behavior Checklist Social Withdrawal Subscale|Aberrant Behavior Checklist Sterotypy Subscale|Aberrant Behavior Checklist Inappropriate Speech Subscale|ADHD Rating Scale - Inattention Subscale|ADHD Rating Scale - Hyperactivity Subscale,"Yale University|Emory University|Massachusetts General Hospital|Seattle Children's Hospital|University of California, Los Angeles|National Institute of Mental Health (NIMH)",All,5 Years to 14 Years   (Child),Phase 4,62.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",1001006172|R01MH083707,2011-12-01,2014-03-01,2014-03-01,2010-11-10,2015-12-07,2020-03-31,"University of California, Los Angeles, Los Angeles, California, United States|Yale University, New Haven, Connecticut, United States|Emory University, Atlanta, Georgia, United States|Massachusetts General Hospital, Lexington, Massachusetts, United States|Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01238575
1204,1205,NCT01903681,Assessment of the Pharmacokinetics of Circadin® in Children With Neurodevelopmental Disorders and Sleep Disturbances,,Completed,No Results Available,Sleep Problems,Drug: Circadin 2 mg|Drug: Circadin 10 mg,baseline profile of endogenous saliva melatonin concentrations and urine 6-SMT excretion|concentration-time profile of saliva melatonin concentrations and 24 hour 6-SMT urine excretion after 2 and 10 mg Circadin® mini-tablets single dose administration|adverse event profile after a single dose of 2 or 10 mg Circadin® mini-tablets,Neurim Pharmaceuticals Ltd.,All,2 Years to 17 Years   (Child),Phase 1,16.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,CHDR1219,2013-03-01,2014-02-01,2014-04-01,2013-07-19,,2014-04-04,"Centre for Human Drug Research, Leiden, Netherlands",,https://ClinicalTrials.gov/show/NCT01903681
1206,1207,NCT01525901,Clinical Trial in 22q13 Deletion Syndrome(Phelan-McDermid Syndrome),,Recruiting,No Results Available,22q13 Deletion Syndrome|Phelan-McDermid Syndrome,Drug: Insulin-Like Growth Factor-1 (IGF-1)|Drug: Normal saline,Aberrant Behavior Checklist - Social Withdrawal (ABC-SW) subscale|Repetitive Behavior Scale|CGI-Improvement and Severity Scales|Caregiver Strain Index|Exploratory outcomes,Icahn School of Medicine at Mount Sinai|National Institute of Mental Health (NIMH),All,5 Years to 12 Years   (Child),Phase 2,35.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",GCO 12-0929|IF# 1358648|1R34MH100276-01|GCO 11-1555|R34MH100276,2012-02-01,2023-04-01,2023-04-01,2012-02-03,,2021-03-15,"Seaver Austin Center, Icahn School of Medicine at Mount Sinai, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT01525901
1208,1209,NCT03944447,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19,OMNI-Can,Recruiting,No Results Available,Chronic Pain|Chronic Pain Syndrome|Chronic Pain Due to Injury|Chronic Pain Due to Trauma|Fibromyalgia|Seizures|Hepatitis C|Cancer|Crohn Disease|HIV/AIDS|Multiple Sclerosis|Traumatic Brain Injury|Sickle Cell Disease|Post Traumatic Stress Disorder|Tourette Syndrome|Ulcerative Colitis|Glaucoma|Epilepsy|Inflammatory Bowel Diseases|Parkinson Disease|Amyotrophic Lateral Sclerosis|Chronic Traumatic Encephalopathy|Anxiety|Depression|Insomnia|Autism|Opioid-use Disorder|Bipolar Disorder|Covid19|SARS-CoV Infection|COVID-19|Corona Virus Infection|Coronavirus,"Drug: Cannabis, Medical",Prevention of COVID-19|Treatment of COVID-19|Treatment of Symptoms|Cannabis Impact on Quality of Life|Cannabis Route and Dosing|Monitoring Adverse Events,"OMNI Medical Services, LLC|OMNI Medical Services Inc",All,"7 Years and older   (Child, Adult, Older Adult)",Phase 2,200000.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro00033337,2018-12-01,2025-12-31,2025-12-31,2019-05-09,,2020-12-09,"OMNI Medical Services, Boca Raton, Florida, United States|OMNI Medical Services, Bradenton, Florida, United States|OMNI Medical Services, Fort Lauderdale, Florida, United States|OMNI Medical Services, Fort Myers, Florida, United States|OMNI Medical Services, Gainesville, Florida, United States|OMNI Medical Services, Merritt Island, Florida, United States|OMNI Medical Services, Miami, Florida, United States|OMNI Medical Services, Ocoee, Florida, United States|OMNI Medical Services, Pensacola, Florida, United States|OMNI Medical Services, Pompano Beach, Florida, United States|OMNI Medical Services, Tampa, Florida, United States|OMNI Medical Services, Wesley Chapel, Florida, United States|OMNI Medical Services, Beechwood, Ohio, United States|OMNI Medical Services, Bowling Green, Ohio, United States|OMNI Medical Services, Sandusky, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States",,https://ClinicalTrials.gov/show/NCT03944447
1212,1213,NCT00352196,Janssen Asperger's MRS (Magnetic Resonance Spectroscopy Risperidone Study,,Completed,No Results Available,Asperger's Disorder,Drug: Risperidone|Other: Magnetic Resonance Spectroscopy,Chang in the Scale for the Assessment of Negative Symptoms (SANS)|Change in Positive and Negative Symptom Scale (PANNS)|Change in Brief Psychiatric Rating Scale (BPRS)|Change in Montgomery Asberg Rating Scale (MADRS)|Change in Global Assessment Scale (GAS)|Change in Abnormal Involuntary Movement Scale (AIMS)|Change in Neurocognitive test battery,"Augusta University|Ortho-McNeil Janssen Scientific Affairs, LLC",All,"6 Years and older   (Child, Adult, Older Adult)",Phase 4,23.0,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RIS-EMR-4026|MCG HAC File #01-09-063,2001-11-01,2007-05-01,2007-05-01,2006-07-14,,2015-01-14,"Medical College of Georgia, Dept. of Psychiatry, Augusta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT00352196
1216,1217,NCT02680379,Combined Treatment of Minocycline and Lovastatin to Treat Individuals With Fragile X Syndrome,LovaMiX,Completed,No Results Available,Fragile X Syndrome,"Drug: Minocycline, then Minocycline/Lovastatin|Drug: Lovastatin, then Minocycline/Lovastatin","Change from baseline Aberrant Behavior Checklist-Community (ABC-C) total score at 8,12 and 20 weeks|Clinical Global Impression Scale improvement (CGI-I)|Change from baseline Social Responsiveness Scale (SRS) at 8 and 20 weeks|Anxiety, depression and mood scale (ADAMS), change from baseline to 8 and 20 weeks|Behavior Rating Inventory of Executive Function (BRIEF)|Change from baseline Vineland II; adaptive behaviour scale at 20 weeks",Université de Sherbrooke|FRAXA Research Foundation,All,"8 Years to 45 Years   (Child, Adult)",Phase 2,22.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2016-1177,2016-03-01,2017-10-01,2017-11-01,2016-02-11,,2018-10-15,"Centre de Recherche du CHUS, Sherbrooke, Quebec, Canada",,https://ClinicalTrials.gov/show/NCT02680379
1218,1219,NCT01474746,Trial of Sertraline to Treat Children With Fragile X Syndrome,,Completed,Has Results,Fragile X Syndrome,Drug: Sertraline|Drug: Placebo,"Change in Mullen Scales of Early Learning - Expressive Language Raw Score|Clinical Global Impression - Improvement|Change in Mullen Scales of Early Learning - Expressive Language Standard T Score|Autism Diagnostic Observation Schedule|Visual Analog Scale|Eye Tracking|Preschool Language Scale-fifth Edition (PLS-5): AC+EC Total Raw Score|Sensory Processing Measure - Preschool (SPM-P) Social Participation: Raw Score|Sensory Profile - Sensation Seeking Subscale Raw Score|Vineland Adaptive Behavior Scales, Second Edition (Vineland-II) - Adaptive Behavior Composite Standard Score|Mullen Scales of Early Learning - Visual Reception Raw Score|Mullen Scales of Early Learning - Fine Motor Raw Score|The Autism Diagnostic Observation Schedule (ADOS-2)|The Visual Analog Scale|Sensory Processing Measure-Preschool (SPM-P) Social Participation: Raw Score|Vineland Adaptive Behavior Scales, Second Edition (Vineland-II) Adaptive Behavior Composite Standard Score|Mullen Scales of Early Learning - Visual Reception Age-equivalent Score|Mullen Scales of Early Learning - Fine Motor Age-equivalent Score|Mullen Scales of Early Learning - Cognitive T Score Sum|Mullen Scales of Early Learning - Summary Age-equivalent Score","Randi J. Hagerman, MD|University of California, Davis",All,24 Months to 68 Months   (Child),Phase 2,57.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",271070|R40MC22641,2012-01-01,2015-08-01,2015-09-01,2011-11-18,2017-09-25,2017-09-25,"UC Davis M.I.N.D. Institute, Sacramento, California, United States",,https://ClinicalTrials.gov/show/NCT01474746
1220,1221,NCT01777542,Treatment of Rett Syndrome With Recombinant Human IGF-1,,Completed,Has Results,Rett Syndrome,Drug: Recombinant Human Insulin Growth Factor 1 (rhIGF-1)|Drug: Placebo,"Rett Syndrome Behavior Questionnaire (RSBQ) - Fear/Anxiety Subscale|Anxiety, Depression, and Mood Scale (ADAMS) - Social Avoidance Subscale|Clinical Global Impression - Severity (CGI-S)|Clinical Global Impression - Improvement (CGI-I)|Parental Global Impression - Severity (PGI-S)|Parental Global Impression - Improvement (PGI-I)|Parent Targeted Visual Analog Scale (PTSVAS) - Scale 1|Parent Targeted Visual Analog Scale (PTSVAS) - Scale 2|Parent Targeted Visual Analog Scale (PTSVAS) - Scale 3|Kerr Clinical Severity Scale|Rett Syndrome Behavior Questionnaire (RSBQ)|Anxiety, Depression, and Mood Scale (ADAMS)|Mullen Scales of Early Learning (MSEL)|Vineland Adaptive Behavior Scales, Second Edition (VABS-II)|Communication and Symbolic Behavior Scales - Developmental Profile (CSBS-DP)|Aberrant Behavior Checklist - Community Edition (ABC-C)|Quantitative Measures of Respiration: Apnea Index",Boston Children's Hospital|International Rett Syndrome Foundation,Female,2 Years to 10 Years   (Child),Phase 2,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",IRB-P00005610,2013-01-01,2016-07-01,2016-11-01,2013-01-29,2018-03-26,2018-03-26,"Boston Children's Hospital, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT01777542
1222,1223,NCT02715115,A Safety Study of NNZ-2566 in Pediatric Rett Syndrome,,Completed,No Results Available,Rett Syndrome,Drug: NNZ-2566|Drug: Placebo,Adverse events|Motor Behaviour Assessment Scale (MBA)|Clinical Global Impression of Improvement (CGI-I)|Caregiver Top 3 Concerns via a Visual Analogue Scale (VAS),Neuren Pharmaceuticals Limited|rettsyndrome.org,Female,5 Years to 15 Years   (Child),Phase 2,82.0,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Neu-2566-RETT-002,2016-03-01,2017-01-05,2017-01-05,2016-03-22,,2020-08-14,"University of Alabama, Birmingham, Alabama, United States|UCSF Benioff Children's Hospital Oakland, Oakland, California, United States|University of California, San Diego, San Diego, California, United States|Children's Hosptial Colorado, Aurora, Colorado, United States|Rush University Medical Center, Chicago, Illinois, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Gillette Children's Specialty Healthcare, Saint Paul, Minnesota, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Greenwood Genetic Center, Greenwood, South Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT02715115
