"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1097,"NCT03003286","Community Based Intervention for Children With ADHD and ASD",,"Completed","No Results Available","Autism Spectrum Disorder|Attention Deficit-Hyperactivity Disorder|Executive Function","Behavioral: Unstuck and on Target (UOT)|Behavioral: Parents and Teachers Supporting Students (PATSS)","Change in Classroom Observation total raw score at termination of intervention|Change in Wechsler Abbreviated Scale of Intelligence--II Block Design- T-score at termination of intervention (post testing) and 1 year later (long-term follow-up)|Change in Delis-Kaplan Executive Function System - Category Fluency and Switching Accuracy scaled scores at termination of intervention (post testing) and 1 year later (long-term follow-up)|Change in Executive Function Challenge Task - Flexibility and Planning raw scores at termination of intervention (post testing) and 1 year later (long-term follow-up)|Change in Flexibility Interference Questions Questionnaire total raw score at termination of intervention (post testing) and 1 year later (long-term follow-up)|Change in Behavior Rating Inventory of Executive Function (BRIEF) - Parent Form - Shift, Plan/Organize, Emotional Control and Global Executive at termination of intervention (post testing) and 1 year later (long-term follow-up)Composite T-scores|Change in The Child Behavior Checklist (CBCL) - Parent Report Externalizing Behaviors T-scores at termination of intervention (post testing) and 1 year later (long-term follow-up)|Parent Feedback Form - Acceptability total raw score|Child Feedback-Acceptability raw score","Lauren Kenworthy|Georgetown University|University of Colorado, Denver|Children's National Research Institute","All","8 Years to 11 Years   (Child)","Not Applicable","148","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AD-1304-7379","September 13, 2014","August 5, 2017","August 5, 2017","December 28, 2016",,"April 4, 2018","Children's Research Institude, Children's National Heath System, Washington, District of Columbia, United States",,"https://ClinicalTrials.gov/show/NCT03003286"
1098,"NCT03404505","Effects of a Short-term Parent Mediated Social Training on Developmental Trajectories in Infants","IA","Recruiting","No Results Available","Younger Sibling of Child With Autism Spectrum Disorder|Signs of Developmental Delay|Signs of Communication Delay|Signs of Social Delay","Behavioral: Infant Achievements|Behavioral: Caregiver Education (CE)","Change in parent behavior during the Parent-Child Play Sample|Change in child communication and social engagement sample during the Parent-Child Play Sample|Change in scores on the Mullen Scales of Early Learning Receptive and Expressive Language Raw Scores|Change in scores on the MacArthur-Bates Communication Development Inventory|Change in scores on the CSBS Behavior Sample","Hugo W. Moser Research Institute at Kennedy Krieger, Inc.|National Institute on Deafness and Other Communication Disorders (NIDCD)","All","8 Months to 12 Months   (Child)","Not Applicable","64","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","IRB00065698|R21DC015846","November 3, 2017","November 2021","November 2021","January 19, 2018",,"March 10, 2021","Kennedy Krieger Institute, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03404505"
1099,"NCT02124720","Using Mobile Technology to Reduce Stereotypy",,"Completed","No Results Available","Child Development Disorders, Pervasive","Behavioral: iSTIM","Frequency and duration of stereotypy|Social validity score","Université de Montréal","All","up to 12 Years   (Child)","Not Applicable","39","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CERFAS-2014-15-030-P","December 2014","February 2019","February 2019","April 28, 2014",,"September 26, 2019","Monarch House, Mississauga, Ontario, Canada|CRDITED de Montréal, Montreal, Quebec, Canada|Gold Centre, Montreal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT02124720"
1100,"NCT01364818","Brain Connectivity in Neurodevelopmental Disorders in Response to Treatment",,"Completed","No Results Available","Autism Spectrum Disorders|Psychosis|Fragile X Syndrome",,"Pre-Post Treatment Differences between Groups","University of North Carolina, Chapel Hill","All","3 Years to 45 Years   (Child, Adult)",,"25","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","11-0962","September 2011","December 2014","December 2014","June 2, 2011",,"April 18, 2016","University of North Carolina Chapel Hill, Chapel Hill, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01364818"
1101,"NCT02316145","Internet-based Coaching for Young Adults With Neuropsychiatric Disorders",,"Completed","No Results Available","Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder|Tourette's Disorder","Behavioral: Habilitation (Internet-based support and coaching)","quality of life (QoL)","Vardalinstitutet The Swedish Institute for Health Sciences",,"Child, Adult, Older Adult","Not Applicable","12","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16611","September 2008","June 2010","December 2010","December 12, 2014",,"December 12, 2014",,,"https://ClinicalTrials.gov/show/NCT02316145"
1102,"NCT00080145","RUPP PI PDD: Drug and Behavioral Therapy for Children With Pervasive Developmental Disorders",,"Completed","No Results Available","Child Development Disorders, Pervasive","Drug: Risperidone|Behavioral: Behavior Therapy","Home Situations Questionnaire|Vineland Daily Living Skills Scale|Irritability subscale-Aberrant Behavioral Checklist|Clinical Global Impressions-Improvement (CGI-I)","Yale University|National Institute of Mental Health (NIMH)","All","4 Years to 13 Years   (Child)","Not Applicable","124","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","U10MH066764|U10MH066766|U10MH066768|DDTR BD-DD","February 2004","September 2007","September 2007","March 25, 2004",,"August 16, 2013","Yale University, New Haven, Connecticut, United States|Indiana University, Indianapolis, Indiana, United States|Ohio State University, Columbus, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT00080145"
1103,"NCT02088905","Efficacy of Parent-Child Interaction Therapy With Autism Spectrum Disorder","PCIT","Completed","Has Results","Noncompliance","Behavioral: Parent Child Interaction Therapy","Eyberg Child Behavior Inventory|Parental Stress Index-4 Short Form|Social Responsiveness Scale 2 Score|Dyadic Parent-Child Interaction Coding System Scores|Parental Stress Index Score","University of Pittsburgh|Autism Speaks","All","30 Months to 83 Months   (Child)","Not Applicable","25","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0031588|PRO023120445","April 2014","July 2016","July 2016","March 17, 2014","March 1, 2019","March 22, 2019","Merck Child Outpatient Clinic, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02088905"
1104,"NCT00496210","Predictors of Caregiver Adaptation to Pervasive Developmental Disorders",,"Completed","No Results Available","Autism|Asperger's Syndrome|Rett's Disorder",,,"National Human Genome Research Institute (NHGRI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"324","NIH","Observational","Time Perspective: Other","999907178|07-HG-N178","June 27, 2007",,"December 7, 2015","July 4, 2007",,"November 15, 2019","National Human Genome Research Institute (NHGRI), 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00496210"
1105,"NCT03776656","Evaluation of a Treatment With Allopurinol in Adenylosuccinate Lyase Deficiency","ADSL","Active, not recruiting","No Results Available","Adenylosuccinate Lyase Deficiency","Drug: Allopurinol","Measurement of adaptive functional improvement : composite total score for Vineland II adaptive behaviour Scale|Evolution of the Scores of different subdomains Vineland II scale from baseline|Evolution of the Psycho-Educative Profile (PEP III/R) from baseline|Evolution of the Score ADI-R (Autism Diagnostic Interview-Revised) from baseline|Evolution of the Score ADOS-2 (Autism Diagnostic Observation Schedule 2) from baseline|Evolution of the Score on Conners hyperactivity Scale|Evolution of the Score on ABC scale (Aberrant Behaviour Checklist)|Evolution of SAICAr levels in the urine|Evolution of S-Ado levels in the urine|Evolution of SAICAr levels in the blood|Evolution of S-Ado levels in the blood|Evolution of the number of seizures from Baseline for epileptic patients|Evolution of antiepileptic treatments from Baseline for epileptic patients|Evolution of electroencephalogram tracing from Baseline for epileptic patients","Assistance Publique - Hôpitaux de Paris|URC-CIC Paris Descartes Necker Cochin","All","18 Months and older   (Child, Adult, Older Adult)","Phase 2","8","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P160902J|2017-002155-28","October 14, 2019","April 2022","April 2022","December 17, 2018",,"August 31, 2021","LA PITIE-SALPETRIERE Hospital, AP-HP, Paris, France|Department of Pediatry. Reference centre of Hereditary diseases of the metabolism of child and adult. Necker - Enfants malades Hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT03776656"
1106,"NCT04096430","Evaluation of Effectiveness of Child-oriented Goal-setting in Paediatric Rehabilitation (the ENGAGE Approach)",,"Not yet recruiting","No Results Available","Autism Spectrum Disorder|Neurodevelopmental Disorders|Cerebral Palsy","Behavioral: ENGAGE approach (child-oriented goal-setting)","Goal performance and satisfaction will be measured using the Canadian Occupational Performance Measure (COPM).|Child engagement in therapy will be measured using the Pediatric Rehabilitation Intervention Measure of Engagement (PRIME-SP).|Perceived confidence will be measured using the Belief in Goal Self-Competence Scale [BiGSS].|Goal related performance will be measured using the Goal Attainment Scaling (GAS).|Participation for young children will be measured using the Participation and Environment Measure for Children & Youth (PEM-CY).|Quality of life for children will be measured using the KIDSCREEN-27.|Caregiver quality of life will be measured with the Caregiver Quality of Life (CarerQol-7D).|Functional abilities will be measured with the Pediatric Evaluation of Disability Inventory (PEDI-CAT).","University of Alberta|Alberta Health Services","All","5 Years to 12 Years   (Child)","Not Applicable","96","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","Pro00090963","September 2020","January 2022","January 2022","September 19, 2019",,"July 31, 2020","Renfrew Educational Services, Calgary, Alberta, Canada|Society for Treatment of Autism, Calgary, Alberta, Canada|Children's Rehabilitation Services, Alberta Health Services, Camrose, Alberta, Canada|Centre for Autism Services Alberta, Edmonton, Alberta, Canada|Children's Rehabilitation Services, Alberta Health Services, Grande Prairie, Alberta, Canada|Children's Rehabilitation Services, Alberta Health Services, Red Deer, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04096430"
1107,"NCT04475848","A Study to Investigate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Food Effect of RO6953958 in Healthy Participants",,"Recruiting","No Results Available","Autistic Disorder|Autism Spectrum Disorder|Child Development Disorders, Pervasive|Mental Disorders|Neurodevelopmental Disorders","Drug: RO6953958|Drug: Placebo","Percentage of Participants with Adverse Events in Part 1|Percentage of Participants with Adverse Events in Part 2|Part 2: Change in suicide risk assessed using the Columbia Suicide Severity Rating Scale (C-SSRS)|Part 1: Maximum Observed Plasma Concentration (Cmax) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Time to Reach Maximum Observed Plasma Concentration (Tmax) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Last Quantifiable Concentration (Clast) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Time To the Last Quantifiable Concentration (Tlast) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Terminal Elimination Phase Half-Life (T1/2) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Area Under the Concentration-Time Curve from Time 0 to 12 hours (AUC(0-12h)) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Area Under the Concentration-Time Curve From Time 0 to the Time of the Last Quantifiable Concentration (AUClast) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Area Under the Concentration-Time Curve from Time Extrapolated to Infinity (AUC (0-inf)) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Apparent Clearance (CL/F) of RO6953958 in Fasted and Fed state|Part 1: Apparent Volume of Distribution (V/F) of RO6953958 in Fasted and Fed state|Part 1: Cumulative Amount of Unchanged Drug Excreted into the Urine (Ae) of RO6953958 and its Metabolites RO7021594 and RO7045755 in Fasted and Fed state|Part 1: Fraction of the Administered Drug Excreted into the Urine (Fe) of RO6953958 in Fasted and Fed state|Part 1: Renal Clearance of the Drug from Urine (CLR) of RO6953958 in Fasted and Fed state|Parts 2: Cmax of RO6953958 and its Metabolites RO7021594 and RO7045755|Parts 2: Molecular Weight Adjusted Metabolite-to-Parent Ratio for Cmax of RO6953958 and its Metabolites RO7021594 and RO7045755|Parts 2: Average Plasma Concentration (Cavg) of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: Tmax of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: Area Under the Concentration-Time Curve (AUC(0-t)) of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: Molecular Weight Adjusted Metabolite-to-Parent Ratio for Area Under the Concentration-Time Curve (AUC(0-t)) of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: T1/2 of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: CL/F of RO6953958|Part 2: V/F of RO6953958|Part 2: Ae of RO6953958|Part 2: Fe of RO6953958|Part 2: CLR of RO6953958|Part 2: Trough Plasma Concentration (Ctrough) of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: Accumulation Ratio based on AUC (Rauc) of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: Accumulation Ratio Based on Cmax (RCmax) of RO6953958 and its Metabolites RO7021594 and RO7045755|Part 2: Accumulation Ratio based on Ctrough (RCtrough) of RO6953958 and its Metabolites RO7021594 and RO7045755","Hoffmann-La Roche","Male","18 Years to 55 Years   (Adult)","Phase 1","80","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","BP41695|2019-004486-41","July 15, 2020","November 8, 2021","November 8, 2021","July 17, 2020",,"September 17, 2021","Hammersmith Medicines Research; Central Middlesex Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04475848"
1108,"NCT03426059","Mapping the Phenotype in Adults With Phelan-McDermid Syndrome",,"Completed","No Results Available","Phelan-McDermid Syndrome|Autism Spectrum Disorder|Intellectual Disability","Other: No Intervention","Global cognitive ability|Measure of Adaptive Behavior|Measure of Overall Language Abilities|Measure of Overall Motor Functioning|Measure of autism symptoms|Measure of Receptive Language Abilities|Measure of Expressive Language Abilities","Boston Children's Hospital|Phelan-McDermid Syndrome Foundation","All","22 Years and older   (Adult, Older Adult)",,"24","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB-P00025776","May 22, 2018","December 31, 2019","December 31, 2020","February 8, 2018",,"April 2, 2021","Stanford University, Stanford, California, United States|Rush University Medical Center, Chicago, Illinois, United States|National Institutes of Health, Bethesda, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|University of Texas Southwestern, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03426059"
1109,"NCT02461420","Mapping the Genotype, Phenotype, and Natural History of Phelan-McDermid Syndrome",,"Recruiting","No Results Available","Phelan-McDermid Syndrome|Autism Spectrum Disorder|Intellectual Disability",,"Change in global cognitive ability at 12 months|Change in adaptive behavior at 12 months|Change in language abilities at 12 months|Change in motor functioning at 12 months|Change in autism symptoms at 12 months|Change in global cognitive ability at 24 months|Change in adaptive behavior at 24 months|Change is language abilities at 24 months|Change in motor functioning at 24 months|Change in autism symptoms at 24 months","Boston Children's Hospital|National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health (NIH)|Office of Rare Diseases (ORD)|National Center for Advancing Translational Science (NCATS)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Phelan-McDermid Syndrome Foundation","All","18 Months and older   (Child, Adult, Older Adult)",,"190","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","P00013300|1U54NS092090","May 2015","December 2024","December 2025","June 3, 2015",,"August 2, 2021","Stanford University, Stanford, California, United States|Rush University Medical Center, Chicago, Illinois, United States|National Institutes of Health, Bethesda, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02461420"
1110,"NCT01914393","Pediatric Open-Label Extension Study",,"Completed","Has Results","Schizophrenia|Autism|Bipolar Depression","Drug: Lurasidone 20, 40, 60, 80 mg, flexibly dosed","Number of Subjects With Adverse Events (AEs), Discontinuations Due to AEs and Serious AEs (SAEs)|Change From Baseline in the Positive and Negative Syndrome Scale (PANSS) Total Score|Change From Baseline in PANSS Positive Subscale Score|Change From Baseline in PANSS Negative Subscale Score|Change From Baseline in PANSS General Psychopathology Subscale Score|Change From Baseline in PANSS Excitability Subscale Score|Change From Baseline in the Clinical Global Impression -Severity Score|Change From Baseline in Clinician-Rated Children's Global Assessment Score (CGAS) Score|Change From Baseline in Pediatric Quality of Life Enjoyment and Satisfaction Questionnaire (PQ-LES-Q) Percentage Maximum Possible Score|Change From Baseline in Aberrant Behavior Checklist (ABC) Irritability Subscale Score|Change From Baseline in Aberrant Behavior Checklist (ABC) Lethargy and Social Withdrawal Subscale Score|Change From Baseline in Aberrant Behavior Checklist (ABC) Stereotypic Behavior Subscale Score|Change From Baseline in Aberrant Behavior Checklist (ABC) Hyperactivity and Noncompliance Subscale Score|Change From Baseline in Aberrant Behavior Checklist (ABC) Inappropriate Speech Subscale Score|Change From Baseline in Clinical Global Impression (CGI) - Severity Score|Change From Baseline in Children's Yale-Brown Obsessive Compulsive Score (CY-BOCS)|Change From Baseline in Caregiver Strain Questionnaire (CGSQ) Global Strain Score|Change From Baseline in Children's Depression Rating Scale, Revised (CDRS-R) Total Score|Change From Baseline in Clinical Global Impression Bipolar Version (CGI-BP-S) Depression Score|Change From Baseline in Clinician-rated Children's Global Assessment Scale (CGAS) Score|Change From Baseline in Pediatric Anxiety Rating Scale (PAR) Total Score|Change From Baseline in Attention-Deficity/Hyperactivity Disorder Rating Scale (ADHD-RS) Total Score","Sunovion","All","6 Years to 17 Years   (Child)","Phase 3","702","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D1050302|2013-001694-24","September 30, 2013","October 17, 2018","October 17, 2018","August 2, 2013","December 19, 2019","December 19, 2019","Harmonex Neuroscience Research, Dothan, Alabama, United States|Diligent Clinical Trials, Inc, Downey, California, United States|University of California San Francisco Medical Center, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Sarkis Clinical Trials - Parent, Gainesville, Florida, United States|Clinical Neuroscience Solutions, Inc., Orlando, Florida, United States|APG Research, LLC, Orlando, Florida, United States|University of South Florida, Saint Petersburg, Florida, United States|Medical Research Group of Central Florida, Sanford, Florida, United States|University of South Florida Rothman Center of Neuropychiatry, Tampa, Florida, United States|Atlanta Center for Medical Research, Atlanta, Georgia, United States|Attalla Consultants, LLC, Smyrna, Georgia, United States|Psychiatric Associates, Overland Park, Kansas, United States|University Of Kentucky, Lexington, Kentucky, United States|Lake Charles Clinical Trials LLC,2770 3rd Avenue,Suite 340, Lake Charles, Louisiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Neurobehavioral medicine Group, LLC, Bloomfield Hills, Michigan, United States|St. Charles Psychiatric Associates, Saint Charles, Missouri, United States|Jersey Shore University Medical Center, Neptune, New Jersey, United States|North Shore/Long Island Jewish PRIME, Glen Oaks, New York, United States|Dr. Jeanette Cueva, Mount Kisco, New York, United States|Montefiore Medical Center PRIME, New York, New York, United States|Finger Lakes Clinical Research, Rochester, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|The Ohio State University Nisonger Center, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Pillar Clinical Research, LLC, Dallas, Texas, United States|Family Psychiatry of The Woodlands, P.A., The Woodlands, Texas, United States|Ericksen Research & Development, LLC, Clinton, Utah, United States|University of Virginia, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Clinical Research Partners, LLC, Petersburg, Virginia, United States|Carilion Clinic, Roanoke, Virginia, United States|MHC - Ruse, EOOD, Ruse, Bulgaria|UMHAT ""Alexandrovska"" EAD, Sofia, Bulgaria|MHAT-Targovishte, AD, Targovishte, Bulgaria|DCC ""Mladost M"" - Varna, OOD, Varna, Bulgaria|Centro de Investigaciones y Proyectos en Neurociencias CIPNA, Barranquilla, Colombia|E.S.E. Hospital Mental de Antioquia, Bello, Colombia|Centro de Investigaciones del Sistema Nervioso Limitada - Grupo CISNE Ltda, Bogota, Colombia|CHU Nantes - Hôpital Mère-Enfant, Nantes Cedex 1, France|Vadaskert Alapitvany a Gyermekek Lelki Egeszsegeert, Budapest, Hungary|Bekes Megyei Pandy Kalman Korhaz, Gyula, Hungary|Seoul National University Hospital, Seoul, Gyeonggi-do, Korea, Republic of|Chonnam National University Hospital, Gwangju, Korea, Republic of|Inha University Hospital, Incheon, Korea, Republic of|Chonbuk National University Hospital, Jeonju, Korea, Republic of|University Malaya Medical Centre, Kuala Lumpur, Malaysia|Centro para el Desarrollo de la Medicina y de Asistencia Medica Especializada S.C., Culiacan, Sinaloa, Mexico|Dr. Jessica Rosas Escobar, Durango, Mexico|Instituto de Investigaciones Aplicadas a la Neurociencia A.C., Durango, Mexico|Accelerium S. de R.L. de C.V., Monterrey, Mexico|Instituto de Informacion de Investigacion en Salud Mental, Monterrey, Mexico|Av Modesto Arreola #917 Ote. Col Centro, Nuevo León, Mexico|Alexian Brothers Health and Wellness Center, Davao City, Philippines|West Visayas State University Medical Center, Iloilo, Philippines|National Center for Mental Health, Mandaluyong City, Philippines|Veterans Memorial Medical Center, Quezon City, Philippines|NZOZ Poradnia Zdrowia Psychicznego, Kobierzyce, Poland|Wojewodzki Szpital Zespolony im. L. Rydygiera w Toruniu, Oddzial Kliniczmy VI Psychiatrii Mlodziezy, Toruń, Poland|Centro de Investigacion Clinica Psiquiatrica, Caguas, Puerto Rico|Spitalul Clinic de Psihiatrie Prof. Dr. Alexandru Obregia, Bucuresti, Romania|Spitalul Clinic de Psihiatrie Socola, Iasi, Romania|Spitalul Clinic de Urgenta pentru Copii ""Louis Turcanu"" Timisoara, Timisoara, Romania|Sverdiovsk Regional Clinical Psychiatric Hospital, Ekaterinburg, Russian Federation|GUZ Lipetsk Regional psychoneurological Hospital #1, Lipetsk, Russian Federation|Closed corporation ""Scientific Center of Personalized Psychiatry"", Moscow, Russian Federation|Scientific Center of Personalized Psychiatry, Moscow, Russian Federation|State Healthcare Institution of Nizhniy Novgordo region ""Clinical Psychiatric Hospital #1 of City of Nizhniy Novgorod"", Nizhny Novgorod, Russian Federation|SHI ""City Psychoneurological dispensary #7 (with Hospital)"", Saint Petersburg, Russian Federation|Center of Recovery Treatment ""Pediatric Psychiatry"" named after S.S. Mnukhin, Saint Petersburg, Russian Federation|Bekhterev Institute, Saint Petersburg, Russian Federation|Regional Clinical Mental Hospital of Saint Sofiya, Saratow, Russian Federation|FSBSI ""Scientific Research Institute of Mental Health"", Tomsk, Russian Federation|State Healthcare Institution of Yaroslavl Rgion ""Yaroslavl Regional clinical Mental Hospital"", Yaroslavl, Russian Federation|Hospital Marítimo de Torremolinos, Torremolinos, Málaga, Spain|RPsH #3 Сhildren Dept SHEI Ivano-Frankivsk SMU, Ivano Frankivsk, Ukraine|SI Institute of Neurology, Psychiatry and Narcology of NAMSU, Kharkiv, Ukraine|SI Institute of Children and Adolescents Healthcare of NAMSU, Kharkiv, Ukraine|TMA Psychiatry in Kyiv Center of NT & Rehabilitation of Psychotic Conditions, Kyiv, Ukraine|CI Lviv Regional Clinical Psychiatric Hospital, Lviv, Ukraine|Odesa Regional Psychoneurological Dispensary, Outpatient Dept., Odesa, Ukraine|O.F. Maltcev Poltava RCPsH Children Dept Ukrainian Medical Stomatological Academy, Poltava, Ukraine|CI Kherson Regional Psychiatric Hospital of Kherson RC, Stepanivka, Ukraine|Ternopil RCCPH Dept of Psychiatry #9 (adolescent)& #8 (pediatric) Ternopil I.Ya. Gorbachevskyi SMU, Ternopil, Ukraine|Reg. Psych. Hosp.n.a. O.Yuschenko, Dept. #121 VNMI, Vinnitsia, Ukraine","""Study Protocol: Final Protocol"", https://ClinicalTrials.gov/ProvidedDocs/93/NCT01914393/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/93/NCT01914393/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT01914393"
1111,"NCT01602263","Transcranial Direct Current Stimulation (tDCS) and Cognitive Processing",,"Active, not recruiting","No Results Available","Aphasia|Autism|Schizophrenia","Procedure: Transcranial Direct Current Stimulation (tDCS)","Indices of cognitive function|Persistence of cognitive enhancements following tDCS|Initiation, endurance and cessation of skin sensations caused by tDCS","Johns Hopkins University","All","18 Years to 79 Years   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","NA_00015657|15657","January 2009","January 2025","December 2030","May 18, 2012",,"December 14, 2020","Department of Neurology; Cognitive Neurology/Neuropsychology, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01602263"
1112,"NCT03730194","A SMART Design to Improve Sleep Disturbance in Adolescents With Neurodevelopmental Disorders",,"Recruiting","No Results Available","Autism Spectrum Disorder|Attention Deficit Hyperactivity Disorder|Sleep Disturbance","Dietary Supplement: Melatonin|Behavioral: Bedtime Bank","Actigraphy (total sleep time)|Cleveland Adolescent Sleepiness Questionnaire (CASQ)|Sleep Diary|PROMIS Pediatric Item Bank Sleep Disturbance|PROMIS Pediatric Item Bank Sleep Related Impairment|Dim Light Melatonin Onset (DLMO)|Urinary Melatonin|PROMIS Sleep Disturbance (short form v. 1.0 8b)|PROMIS Sleep Related Impairment (short form v. 1.0 8a)","University of Nebraska|National Institute of Nursing Research (NINR)","All","10 Years to 18 Years   (Child, Adult)","Not Applicable","40","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","775-18-FB|1K01NR017465-01A1","May 31, 2019","January 31, 2022","January 31, 2022","November 5, 2018",,"April 27, 2021","University of Nebraska Medical Center, Center for Nursing Science, Omaha, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT03730194"
1113,"NCT04878198","Treatment of Sleep Disturbance in Children With ASD",,"Not yet recruiting","No Results Available","Physical Exercise|Sleep Disturbance|Autism Spectrum Disorder|Melatonin Deficiency","Behavioral: Jogging program|Drug: Melatonin supplement intervention","Sleep onset latency|Sleep efficiency|Wake after sleep onset|Sleep duration|Parental-assessed sleep quality|24-h melatonin level|First morning void melatonin level","Education University of Hong Kong|Chinese University of Hong Kong|Castle Peak Hospital|University of Leicester|United Christian Hospital","All","8 Years to 12 Years   (Child)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RG 21/2019-2020R","September 1, 2021","June 30, 2023","June 30, 2023","May 7, 2021",,"May 11, 2021",,,"https://ClinicalTrials.gov/show/NCT04878198"
